SubscriptionName,SubscriptionGuid,Date,ResourceGuid,ServiceName,ServiceType,ServiceRegion,ServiceResource,Quantity,Cost
"Microsoft Azure Sponsorship","46a57e0b-a067-4972-a19f-da4b2857afb2","8/17/2023","80dba35a-b66a-4ef7-b1ab-0034bec48be9","Azure Database for PostgreSQL","Hyperscale (Citus) General Purpose Storage","EU West","General Purpose Data Stored","165.16128","22.627104"
"Microsoft Azure Sponsorship","46a57e0b-a067-4972-a19f-da4b2857afb2","8/18/2023","80dba35a-b66a-4ef7-b1ab-0034bec48be9","Azure Database for PostgreSQL","Hyperscale (Citus) General Purpose Storage","EU West","General Purpose Data Stored","165.16128","22.627104"
"Microsoft Azure Sponsorship","46a57e0b-a067-4972-a19f-da4b2857afb2","8/19/2023","80dba35a-b66a-4ef7-b1ab-0034bec48be9","Azure Database for PostgreSQL","Hyperscale (Citus) General Purpose Storage","EU West","General Purpose Data Stored","165.16128","22.627104"
"Microsoft Azure Sponsorship","46a57e0b-a067-4972-a19f-da4b2857afb2","8/20/2023","80dba35a-b66a-4ef7-b1ab-0034bec48be9","Azure Database for PostgreSQL","Hyperscale (Citus) General Purpose Storage","EU West","General Purpose Data Stored","165.16128","22.627104"
"Microsoft Azure Sponsorship","46a57e0b-a067-4972-a19f-da4b2857afb2","8/21/2023","80dba35a-b66a-4ef7-b1ab-0034bec48be9","Azure Database for PostgreSQL","Hyperscale (Citus) General Purpose Storage","EU West","General Purpose Data Stored","165.16128","22.627104"
"Microsoft Azure Sponsorship","46a57e0b-a067-4972-a19f-da4b2857afb2","8/22/2023","80dba35a-b66a-4ef7-b1ab-0034bec48be9","Azure Database for PostgreSQL","Hyperscale (Citus) General Purpose Storage","EU West","General Purpose Data Stored","165.16128","22.627104"
"Microsoft Azure Sponsorship","46a57e0b-a067-4972-a19f-da4b2857afb2","8/23/2023","80dba35a-b66a-4ef7-b1ab-0034bec48be9","Azure Database for PostgreSQL","Hyperscale (Citus) General Purpose Storage","EU West","General Purpose Data Stored","165.16128","22.627104"
"Microsoft Azure Sponsorship","46a57e0b-a067-4972-a19f-da4b2857afb2","8/24/2023","80dba35a-b66a-4ef7-b1ab-0034bec48be9","Azure Database for PostgreSQL","Hyperscale (Citus) General Purpose Storage","EU West","General Purpose Data Stored","165.16128","22.627104"
"Microsoft Azure Sponsorship","46a57e0b-a067-4972-a19f-da4b2857afb2","8/25/2023","80dba35a-b66a-4ef7-b1ab-0034bec48be9","Azure Database for PostgreSQL","Hyperscale (Citus) General Purpose Storage","EU West","General Purpose Data Stored","165.16128","22.627104"
"Microsoft Azure Sponsorship","46a57e0b-a067-4972-a19f-da4b2857afb2","8/26/2023","80dba35a-b66a-4ef7-b1ab-0034bec48be9","Azure Database for PostgreSQL","Hyperscale (Citus) General Purpose Storage","EU West","General Purpose Data Stored","165.16128","22.627104"
"Microsoft Azure Sponsorship","46a57e0b-a067-4972-a19f-da4b2857afb2","8/27/2023","80dba35a-b66a-4ef7-b1ab-0034bec48be9","Azure Database for PostgreSQL","Hyperscale (Citus) General Purpose Storage","EU West","General Purpose Data Stored","165.16128","22.627104"
"Microsoft Azure Sponsorship","46a57e0b-a067-4972-a19f-da4b2857afb2","8/28/2023","80dba35a-b66a-4ef7-b1ab-0034bec48be9","Azure Database for PostgreSQL","Hyperscale (Citus) General Purpose Storage","EU West","General Purpose Data Stored","165.16128","22.627104"
"Microsoft Azure Sponsorship","46a57e0b-a067-4972-a19f-da4b2857afb2","8/29/2023","80dba35a-b66a-4ef7-b1ab-0034bec48be9","Azure Database for PostgreSQL","Hyperscale (Citus) General Purpose Storage","EU West","General Purpose Data Stored","165.16128","22.627104"
"Microsoft Azure Sponsorship","46a57e0b-a067-4972-a19f-da4b2857afb2","8/30/2023","80dba35a-b66a-4ef7-b1ab-0034bec48be9","Azure Database for PostgreSQL","Hyperscale (Citus) General Purpose Storage","EU West","General Purpose Data Stored","165.16128","22.627104"
"Microsoft Azure Sponsorship","46a57e0b-a067-4972-a19f-da4b2857afb2","8/31/2023","80dba35a-b66a-4ef7-b1ab-0034bec48be9","Azure Database for PostgreSQL","Hyperscale (Citus) General Purpose Storage","EU West","General Purpose Data Stored","165.32201","22.649124"
"Microsoft Azure Sponsorship","46a57e0b-a067-4972-a19f-da4b2857afb2","9/1/2023","80dba35a-b66a-4ef7-b1ab-0034bec48be9","Azure Database for PostgreSQL","Hyperscale (Citus) General Purpose Storage","EU West","General Purpose Data Stored","167.516849","22.949818"
